scan_id,focus_x,focus_y,focus_z,condition,max_response_raw,mean_response_raw,sigma_mm,n_elements,physics_level
109,14.470000000000004,187.53500000000005,-51.79999999999998,A_PA1_to_C1,0.382397438889558,0.006184595135762765,22.0,64,V4.1b Green + Gaussian with validated reference-frame correction
110,15.845,187.425,-51.79999999999998,A_PA1_to_C1,0.3463783536455401,0.006265563721685683,22.0,64,V4.1b Green + Gaussian with validated reference-frame correction
111,17.215,187.30499999999995,-51.79999999999998,A_PA1_to_C1,0.32394791182289107,0.006370632486617144,22.0,64,V4.1b Green + Gaussian with validated reference-frame correction
112,18.590000000000003,187.17000000000002,-51.79999999999998,A_PA1_to_C1,0.2952886678330485,0.006457185463514188,22.0,64,V4.1b Green + Gaussian with validated reference-frame correction
113,19.964999999999996,187.03000000000006,-51.79999999999998,A_PA1_to_C1,0.3022462840459921,0.006572188072814285,22.0,64,V4.1b Green + Gaussian with validated reference-frame correction
114,21.330000000000005,186.87499999999994,-51.79999999999998,A_PA1_to_C1,0.3409604735365995,0.006698538329749396,22.0,64,V4.1b Green + Gaussian with validated reference-frame correction
115,22.705,186.70999999999995,-51.79999999999998,A_PA1_to_C1,0.3825193779803857,0.006788023125977823,22.0,64,V4.1b Green + Gaussian with validated reference-frame correction
116,24.070000000000004,186.54,-51.79999999999998,A_PA1_to_C1,0.42194100118334404,0.006907665128254167,22.0,64,V4.1b Green + Gaussian with validated reference-frame correction
117,25.44,186.35000000000008,-51.79999999999998,A_PA1_to_C1,0.4747348994441652,0.007000429160033414,22.0,64,V4.1b Green + Gaussian with validated reference-frame correction
118,26.804999999999986,186.16000000000003,-51.79999999999998,A_PA1_to_C1,0.5185853350103132,0.007119515844433441,22.0,64,V4.1b Green + Gaussian with validated reference-frame correction
119,28.165000000000003,185.95499999999998,-51.79999999999998,A_PA1_to_C1,0.5649078263877855,0.007212548913516283,22.0,64,V4.1b Green + Gaussian with validated reference-frame correction
120,29.52999999999999,185.745,-51.79999999999998,A_PA1_to_C1,0.6043137100185496,0.007313075599902232,22.0,64,V4.1b Green + Gaussian with validated reference-frame correction
121,30.895000000000007,185.52000000000004,-51.79999999999998,A_PA1_to_C1,0.6288899932258861,0.007379895558971937,22.0,64,V4.1b Green + Gaussian with validated reference-frame correction
122,32.25,185.28500000000003,-51.79999999999998,A_PA1_to_C1,0.6668185271556298,0.00750360262130959,22.0,64,V4.1b Green + Gaussian with validated reference-frame correction
123,33.610000000000014,185.04000000000005,-51.79999999999998,A_PA1_to_C1,0.7079235509087757,0.007567882968634384,22.0,64,V4.1b Green + Gaussian with validated reference-frame correction
